,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Belgium","Data source","Beer","4.35","4.40","4.42","4.46","4.60","4.72","4.60","4.78","4.89","5.03"
"Belgium","Data source","Wine","3.41","3.41","3.42","3.47","3.97","3.97","3.87","3.72","3.71","3.72"
"Belgium","Data source","Other alcoholic beverages","0.30","0.31","0.34","0.34","0.32","0.41","0.44","0.05","0.05","0.05"
"Belgium","Data source","Spirits","1.09","1.10","1.13","1.15","1.47","1.47","1.42","1.54","1.49","1.48"
"Belize","Data source","Spirits","1.19","1.24","1.40","1.57","1.64","1.68","1.66","1.71","1.70","1.75"
"Belize","Data source","Wine","0.68","0.70","0.65","0.63","0.68","0.76","0.64","0.31","0.25","0.24"
"Belize","Data source","Beer","3.88","3.88","3.91","4.15","4.25","4.14","4.14","4.18","4.24","4.33"
"Belize","Data source","All types","","","","","","6.73","6.60","6.35","6.34","6.47"
"Belize","Data source","Other alcoholic beverages","0.17","0.14","0.13","0.15","0.14","0.14","0.15","0.16","0.14","0.15"
"Belize","Data source","All types","5.93","5.95","6.09","6.50","6.71","","","","",""
"Benin","Data source","All types","1.25","1.26","1.35","1.44","1.53","1.53","1.43","1.41","1.47","1.35"
"Benin","Data source","Beer","","","","","","1.04","0.92","0.94","0.82","0.70"
"Benin","Data source","Beer","0.81","0.81","0.87","0.95","1.03","","","","",""
"Benin","Data source","Wine","0.02","0.04","0.06","0.07","0.07","0.07","0.07","0.11","0.19","0.18"
"Benin","Data source","Other alcoholic beverages","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.21","0.29","0.30"
"Benin","Data source","Spirits","0.20","0.20","0.20","0.20","0.20","0.19","0.21","0.15","0.16","0.17"
"Bhutan","Data source","All types","0.07","0.07","0.07","0.02","0.04","0.21","0.31","0.32","0.25","0.23"
"Bhutan","Data source","Beer","0.01","0.01","0.01","0.01","0.04","0.04","0.25","0.18","0.17","0.11"
"Bhutan","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bhutan","Data source","Wine","0.05","0.05","0.05","0.00","0.00","0.00","0.00","0.01","0.01","0.01"
"Bhutan","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.16","0.05","0.13","0.08","0.11"
"Bolivia (Plurinational State of)","Data source","Spirits","0.54","0.56","0.57","0.57","0.59","0.58","0.62","0.61","0.59","0.56"
"Bolivia (Plurinational State of)","Data source","Beer","2.22","2.22","2.26","2.31","2.36","","","","",""
