,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Israel","Data source","Other alcoholic beverages","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.05","0.06","0.06"
"Italy","Data source","Wine","4.83","5.08","4.71","4.58","4.62","4.97","4.86","4.99","4.45","4.45"
"Italy","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Italy","Data source","All types","","","","","","7.56","7.35","7.48","6.98","6.95"
"Italy","Data source","All types","7.65","7.81","7.37","7.10","7.14","","","","",""
"Italy","Data source","Beer","1.99","1.94","1.88","1.82","1.79","1.73","1.70","1.70","1.69","1.66"
"Italy","Data source","Spirits","0.83","0.79","0.79","0.69","0.74","0.86","0.79","0.79","0.84","0.84"
"Jamaica","Data source","Wine","0.25","0.30","0.32","0.22","0.14","0.14","0.12","0.09","0.11","0.13"
"Jamaica","Data source","Other alcoholic beverages","0.35","0.35","0.30","0.26","0.20","0.17","0.15","0.14","0.13","0.13"
"Jamaica","Data source","All types","3.46","3.53","3.45","3.29","3.27","3.20","3.16","3.02","2.99","2.94"
"Jamaica","Data source","Beer","","","","","","1.06","1.03","1.01","1.00","0.99"
"Jamaica","Data source","Beer","1.19","1.19","1.24","1.22","1.13","","","","",""
"Jamaica","Data source","Spirits","1.66","1.69","1.58","1.59","1.79","1.82","1.85","1.79","1.75","1.70"
"Japan","Data source","Other alcoholic beverages","5.09","5.44","5.47","5.43","5.48","5.49","5.85","5.77","5.72","5.59"
"Japan","Data source","All types","8.36","8.81","8.74","8.59","8.55","8.40","8.65","8.50","8.41","8.28"
"Japan","Data source","Beer","1.35","1.35","1.45","1.51","1.53","1.51","1.53","1.56","1.58","1.67"
"Japan","Data source","Spirits","","","","","","1.02","0.90","0.82","0.79","0.74"
"Japan","Data source","Spirits","1.63","1.63","1.42","1.26","1.14","","","","",""
"Japan","Data source","Wine","0.29","0.39","0.40","0.39","0.40","0.39","0.37","0.36","0.32","0.29"
"Jordan","Data source","Wine","","","","","","0.00","0.00","0.01","0.01","0.00"
"Jordan","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01"
"Jordan","Data source","All types","0.25","0.26","0.28","0.30","0.30","0.35","0.35","0.36","0.38","0.46"
"Jordan","Data source","Beer","0.06","0.06","0.06","0.07","0.05","0.05","0.05","0.05","0.04","0.09"
"Jordan","Data source","Spirits","0.19","0.20","0.22","0.21","0.24","0.29","0.29","0.31","0.33","0.36"
"Jordan","Data source","Wine","0.00","0.00","0.01","0.01","0.00","","","","",""
"Kazakhstan","Data source","Other alcoholic beverages","","","","","","0.09","0.00","0.00","0.00","0.00"
"Kazakhstan","Data source","All types","3.73","4.16","3.68","3.58","3.33","3.64","3.80","3.73","3.41","3.94"
"Kazakhstan","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","","","","",""
"Kazakhstan","Data source","Beer","2.52","2.44","2.17","1.95","1.84","1.91","1.81","1.91","1.71","2.01"
"Kazakhstan","Data source","Spirits","1.05","1.54","1.36","1.52","1.39","1.56","1.92","1.76","1.65","1.86"
"Kazakhstan","Data source","Wine","0.16","0.18","0.16","0.10","0.09","0.07","0.06","0.05","0.05","0.07"
"Kenya","Data source","All types","1.68","1.70","1.73","1.68","1.65","1.45","1.53","1.49","1.47","1.52"
"Kenya","Data source","Other alcoholic beverages","0.03","0.04","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01"
"Kenya","Data source","Beer","0.81","0.81","0.88","0.84","0.84","0.71","0.89","0.93","0.90","0.95"
"Kenya","Data source","Spirits","0.81","0.83","0.79","0.80","0.76","0.70","0.61","0.53","0.54","0.54"
"Kenya","Data source","Wine","0.04","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Kiribati","Data source","All types","0.43","0.43","0.43","0.44","0.35","0.33","0.73","0.38","0.54","0.49"
"Kiribati","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kiribati","Data source","Beer","0.26","0.26","0.26","0.25","0.24","0.23","0.72","0.37","0.44","0.46"
"Kiribati","Data source","Wine","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.03"
"Kiribati","Data source","Spirits","0.17","0.17","0.17","0.18","0.09","0.09","0.00","0.00","0.08","0.00"
"Kuwait","Data source","Wine","0.00","0.00","0.00","0.00","0.00","","","","",""
"Kuwait","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kuwait","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kuwait","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kuwait","Data source","Wine","","","","","","0.00","0.00","0.00","0.00","0.00"
"Kuwait","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kyrgyzstan","Data source","All types","4.02","4.42","4.87","5.32","5.37","6.18","6.03","5.98","5.95","6.02"
"Kyrgyzstan","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kyrgyzstan","Data source","Beer","0.43","0.45","0.47","0.46","0.48","0.64","0.63","0.62","0.63","0.63"
"Kyrgyzstan","Data source","Spirits","3.35","3.72","4.13","4.57","4.64","5.24","5.11","5.06","5.03","5.10"
"Kyrgyzstan","Data source","Wine","0.23","0.25","0.28","0.29","0.25","0.30","0.30","0.29","0.29","0.29"
"Lao People's Democratic Republic","Data source","Wine","0.07","0.08","0.08","0.08","0.07","0.07","0.05","0.05","0.04","0.04"
"Lao People's Democratic Republic","Data source","All types","8.15","8.16","8.07","7.61","7.09","6.74","6.25","6.33","6.30","6.10"
"Lao People's Democratic Republic","Data source","Beer","3.62","3.62","3.53","3.34","3.01","2.84","2.84","2.83","2.62","2.44"
"Lao People's Democratic Republic","Data source","Spirits","4.46","4.46","4.46","4.20","4.01","","","","",""
"Lao People's Democratic Republic","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Lao People's Democratic Republic","Data source","Spirits","","","","","","3.83","3.36","3.45","3.63","3.62"
"Latvia","Data source","Wine","1.70","1.60","1.40","1.30","1.20","1.20","1.10","1.16","1.13","1.05"
"Latvia","Data source","Spirits","5.30","5.30","5.10","4.50","4.10","","","","",""
"Latvia","Data source","All types","12.90","13.20","12.60","11.30","10.80","10.60","10.43","10.20","10.11","9.83"
"Latvia","Data source","Beer","4.90","5.30","5.30","4.80","4.80","4.80","4.70","4.67","4.86","4.61"
"Latvia","Data source","Spirits","","","","","","4.00","3.99","3.77","3.57","3.64"
"Latvia","Data source","Other alcoholic beverages","1.00","1.00","0.80","0.70","0.70","0.60","0.64","0.60","0.55","0.53"
"Lebanon","Data source","Wine","0.21","0.23","0.23","0.25","0.25","0.24","0.25","0.24","0.21","0.21"
"Lebanon","Data source","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Lebanon","Data source","All types","1.14","1.21","1.19","1.18","1.15","1.18","1.18","1.24","1.30","1.37"
"Lebanon","Data source","Beer","0.38","0.38","0.36","0.35","0.33","0.33","0.27","0.29","0.31","0.37"
"Lebanon","Data source","Spirits","0.53","0.58","0.58","0.55","0.56","0.60","0.64","0.69","0.75","0.77"
"Lesotho","Data source","Wine","0.44","0.29","0.13","0.10","0.10","0.10","0.04","0.00","0.00","0.00"
"Lesotho","Data source","All types","3.56","3.40","2.93","2.95","3.07","2.75","2.55","2.47","2.38","2.75"
"Lesotho","Data source","Beer","1.98","1.98","1.67","1.73","1.64","1.43","1.40","1.41","1.46","1.44"
"Lesotho","Data source","Spirits","0.31","0.31","0.31","0.30","0.51","0.41","0.30","0.61","0.58","0.58"
"Lesotho","Data source","Other alcoholic beverages","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.45","0.34","0.73"
"Liberia","Data source","Wine","0.44","0.29","0.13","0.10","0.10","0.10","0.04","0.00","0.00","0.00"
"Liberia","Data source","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00"
"Liberia","Data source","All types","3.12","2.97","2.83","2.81","3.18","3.02","3.74","3.75","3.73","3.65"
"Liberia","Data source","Beer","0.38","0.38","0.40","0.36","0.33","0.31","0.56","0.54","0.49","0.33"
"Liberia","Data source","Spirits","2.28","2.28","2.28","2.33","2.73","2.59","3.12","3.21","3.22","3.32"
"Libya","Data source","Wine","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Libya","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.00","0.00"
"Libya","Data source","All types","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00"
"Libya","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00"
"Libya","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00"
"Lithuania","Data source","Wine","0.88","0.82","0.83","1.05","1.14","1.51","1.50","1.45","1.35","1.10"
"Lithuania","Data source","All types","11.93","11.77","12.14","13.47","14.20","14.90","14.92","14.97","14.76","13.22"
"Lithuania","Data source","Beer","","","","","","5.46","5.32","5.64","5.79","5.46"
"Lithuania","Data source","Beer","4.61","4.59","4.79","5.13","5.36","","","","",""
"Lithuania","Data source","Spirits","4.96","4.88","5.04","5.54","5.78","5.81","5.80","5.67","5.53","4.65"
"Lithuania","Data source","Other alcoholic beverages","1.48","1.48","1.48","1.74","1.92","2.12","2.29","2.22","2.10","2.01"
"Luxembourg","Data source","Wine","4.73","4.71","4.95","5.01","5.10","","","","",""
"Luxembourg","Data source","Wine","","","","","","5.08","5.12","5.28","5.32","5.25"
"Luxembourg","Data source","All types","11.00","10.98","11.18","11.25","11.37","11.42","11.25","11.67","11.74","11.84"
"Luxembourg","Data source","Beer","4.04","4.05","3.98","3.99","4.02","4.07","3.84","4.08","4.06","4.19"
"Luxembourg","Data source","Spirits","2.14","2.22","2.24","2.25","2.25","2.27","2.29","2.31","2.36","2.40"
"Luxembourg","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Madagascar","Data source","Wine","0.07","0.07","0.07","0.07","0.07","0.08","0.08","0.10","0.10","0.10"
"Madagascar","Data source","Spirits","0.32","0.32","0.32","0.33","0.33","0.35","0.34","0.31","0.30","0.33"
"Madagascar","Data source","All types","0.89","0.89","0.89","0.88","0.86","0.87","0.85","0.85","0.89","0.96"
"Madagascar","Data source","Beer","0.50","0.50","0.50","0.48","0.46","0.44","0.42","0.45","0.50","0.53"
"Madagascar","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Malawi","Data source","All types","2.04","2.04","2.06","2.04","2.04","2.01","2.02","1.87","1.88","1.69"
"Malawi","Data source","Other alcoholic beverages","1.70","1.70","1.70","1.70","1.70","1.76","1.62","1.41","1.55","1.35"
"Malawi","Data source","Wine","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00"
"Malawi","Data source","Spirits","0.25","0.25","0.25","0.25","0.19","0.08","0.23","0.29","0.17","0.18"
"Malawi","Data source","Beer","0.08","0.08","0.09","0.08","0.15","0.17","0.17","0.17","0.16","0.16"
"Malaysia","Data source","Beer","0.48","0.48","0.48","0.45","0.40","","","","",""
"Malaysia","Data source","All types","0.64","0.66","0.65","0.61","0.55","0.54","0.55","0.55","0.54","0.52"
"Malaysia","Data source","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Malaysia","Data source","Wine","0.04","0.05","0.04","0.04","0.03","0.03","0.02","0.02","0.03","0.03"
"Malaysia","Data source","Spirits","0.11","0.12","0.12","0.12","0.12","0.11","0.11","0.11","0.11","0.10"
"Malaysia","Data source","Beer","","","","","","0.40","0.40","0.41","0.39","0.38"
"Maldives","Data source","Wine","0.59","0.65","0.54","0.52","0.50","0.52","0.52","0.57","0.58","0.51"
"Maldives","Data source","Spirits","0.45","0.45","0.45","0.45","0.46","0.46","0.32","0.33","0.70","0.65"
"Maldives","Data source","All types","1.38","1.44","1.29","1.23","1.26","1.30","1.16","1.23","1.69","1.58"
"Maldives","Data source","Beer","0.33","0.33","0.29","0.26","0.30","0.31","0.31","0.33","0.41","0.41"
"Maldives","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mali","Data source","Wine","0.00","0.01","0.00","0.01","0.01","0.00","0.00","0.00","0.01","0.01"
"Mali","Data source","Other alcoholic beverages","0.49","0.49","0.49","0.49","0.49","0.49","0.49","0.53","0.51","0.49"
"Mali","Data source","All types","0.60","0.61","0.61","0.61","0.62","0.61","0.58","0.61","0.62","0.60"
"Mali","Data source","Beer","","","","","","0.10","0.09","0.08","0.08","0.07"
"Mali","Data source","Spirits","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.02","0.02"
"Mali","Data source","Beer","0.09","0.09","0.10","0.09","0.09","","","","",""
"Malta","Data source","Wine","2.34","2.48","2.56","2.33","2.16","","","","",""
"Malta","Data source","Wine","","","","","","2.02","2.07","2.15","1.99","2.21"
"Malta","Data source","Other alcoholic beverages","0.42","0.39","0.36","0.36","0.36","0.33","0.37","0.33","0.31","0.31"
"Malta","Data source","All types","8.07","7.95","7.91","7.59","7.37","7.14","7.32","7.18","6.89","6.99"
"Malta","Data source","Spirits","2.51","2.28","2.20","2.13","2.09","2.04","2.11","1.93","1.81","1.69"
"Malta","Data source","Beer","2.80","2.80","2.78","2.77","2.76","2.76","2.76","2.77","2.77","2.78"
"Mauritania","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mauritania","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mauritania","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mauritania","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mauritania","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mauritius","Data source","All types","3.39","3.44","3.35","3.51","2.83","3.06","3.17","3.17","3.36","3.15"
"Mauritius","Data source","Other alcoholic beverages","","","","","","0.03","0.03","0.03","0.02","0.02"
"Mauritius","Data source","Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","","","","",""
"Mauritius","Data source","Wine","0.23","0.23","0.22","0.22","0.17","0.20","0.22","0.22","0.23","0.22"
"Mauritius","Data source","Spirits","0.88","0.88","0.88","1.04","0.87","0.87","0.80","0.81","0.87","0.78"
"Mauritius","Data source","Beer","1.94","1.94","1.85","1.83","1.41","1.68","1.85","1.84","1.95","1.80"
"Mexico","Data source","Wine","0.19","0.19","0.19","0.19","0.20","0.18","0.20","0.19","0.18","0.18"
"Mexico","Data source","Other alcoholic beverages","0.15","0.15","0.15","0.15","0.21","","","","",""
"Mexico","Data source","All types","4.25","4.25","4.25","4.25","4.24","3.94","3.81","3.86","4.00","4.05"
"Mexico","Data source","Beer","3.72","3.72","3.72","3.72","3.59","3.38","3.28","3.41","3.53","3.53"
"Mexico","Data source","Spirits","0.19","0.19","0.19","0.19","0.24","0.24","0.19","0.12","0.18","0.23"
"Mexico","Data source","Other alcoholic beverages","","","","","","0.15","0.14","0.13","0.11","0.11"
"Micronesia (Federated States of)","Data source","Beer","0.92","0.92","0.92","0.92","0.92","0.88","0.85","1.00","0.89","0.85"
"Micronesia (Federated States of)","Data source","Wine","0.13","0.13","0.13","0.13","0.13","0.13","0.26","1.34","0.46","0.30"
"Micronesia (Federated States of)","Data source","Spirits","0.52","0.52","0.52","0.52","0.52","","","","",""
"Micronesia (Federated States of)","Data source","All types","1.59","1.59","1.59","1.59","1.59","1.51","1.60","2.89","1.87","1.75"
"Micronesia (Federated States of)","Data source","Spirits","","","","","","0.49","0.48","0.54","0.50","0.59"
"Micronesia (Federated States of)","Data source","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.01"
"Mongolia","Data source","Wine","1.46","1.57","1.36","1.33","1.19","1.38","1.44","1.58","1.52","1.23"
"Mongolia","Data source","All types","5.46","5.73","6.19","6.85","8.35","9.88","12.58","7.53","6.65","7.73"
"Mongolia","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mongolia","Data source","Spirits","1.82","1.92","2.79","3.38","5.03","6.37","8.81","3.66","3.16","4.89"
"Mongolia","Data source","Beer","2.18","2.23","2.04","2.14","2.13","2.12","2.33","2.29","1.96","1.61"
"Montenegro","Data source","Wine","2.68","2.67","2.55","2.45","1.98","2.09","2.89","2.41","2.41","3.21"
"Montenegro","Data source","All types","9.91","9.87","9.56","9.13","8.49","8.55","9.62","9.37","9.02","9.94"
"Montenegro","Data source","Other alcoholic beverages","0.16","0.23","0.23","0.21","0.20","0.20","0.18","0.16","0.17","0.18"
"Montenegro","Data source","Spirits","3.22","3.14","3.06","2.93","2.81","2.69","2.61","2.52","2.44","2.35"
"Montenegro","Data source","Beer","3.83","3.83","3.71","3.54","3.50","3.58","3.94","4.28","4.00","4.20"
"Morocco","Data source","Wine","0.24","0.21","0.18","0.17","0.17","0.19","0.21","0.20","0.19","0.18"
"Morocco","Data source","Spirits","0.09","0.08","0.08","0.07","0.07","0.07","0.07","0.08","0.09","0.09"
"Morocco","Data source","All types","0.51","0.47","0.43","0.40","0.39","0.41","0.46","0.46","0.46","0.47"
"Morocco","Data source","Beer","0.18","0.18","0.17","0.17","0.16","0.15","0.18","0.18","0.18","0.20"
"Morocco","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mozambique","Data source","Wine","0.22","0.22","0.22","0.14","0.06","0.06","0.06","0.06","0.05","0.02"
"Mozambique","Data source","All types","1.46","1.46","1.44","1.38","1.22","1.08","1.00","0.97","0.89","0.79"
"Mozambique","Data source","Other alcoholic beverages","0.00","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00"
"Mozambique","Data source","Spirits","0.21","0.20","0.19","0.18","0.16","0.18","0.17","0.16","0.14","0.13"
"Mozambique","Data source","Beer","1.03","1.03","1.03","1.05","0.99","0.84","0.77","0.75","0.70","0.63"
"Myanmar","Data source","Wine","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Myanmar","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Myanmar","Data source","All types","2.06","1.85","1.77","1.61","1.47","1.36","1.31","1.24","1.09","0.97"
"Myanmar","Data source","Spirits","1.55","1.33","1.30","1.17","1.08","","","","",""
"Myanmar","Data source","Spirits","","","","","","1.03","1.02","0.99","0.91","0.81"
"Myanmar","Data source","Beer","0.50","0.50","0.46","0.42","0.37","0.32","0.28","0.24","0.17","0.15"
"Namibia","Data source","Beer","1.37","1.37","1.34","1.32","1.24","1.22","1.17","1.17","1.09","1.05"
"Namibia","Data source","All types","2.38","2.54","2.62","2.67","2.63","2.59","2.45","2.37","1.59","1.40"
"Namibia","Data source","Wine","0.16","0.16","0.16","0.16","0.15","","","","",""
"Namibia","Data source","Other alcoholic beverages","0.32","0.40","0.46","0.49","0.50","0.47","0.44","0.41","0.15","0.15"
"Namibia","Data source","Wine","","","","","","0.15","0.14","0.14","0.13","0.13"
"Namibia","Data source","Spirits","0.53","0.61","0.65","0.70","0.74","0.75","0.69","0.65","0.22","0.07"
"Nauru","Data source","Beer","","","","","","0.54","0.54","0.48","1.74","1.75"
"Nauru","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nauru","Data source","All types","2.44","2.44","2.44","2.44","2.44","2.44","2.44","3.50","4.25","4.44"
"Nauru","Data source","Beer","0.54","0.54","0.54","0.54","0.54","","","","",""
"Nauru","Data source","Wine","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.22","0.06","0.24"
"Nauru","Data source","Spirits","1.81","1.81","1.81","1.81","1.81","1.81","1.81","2.80","2.45","2.46"
"Nepal","Data source","Beer","0.22","0.22","0.22","0.21","0.19","0.18","0.16","0.13","0.12","0.10"
"Nepal","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","Data source","All types","0.36","0.36","0.35","0.33","0.24","0.24","0.28","0.26","0.25","0.23"
"Nepal","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.00"
"Nepal","Data source","Spirits","0.13","0.13","0.13","0.12","0.04","0.05","0.12","0.12","0.12","0.12"
"Netherlands","Data source","Beer","3.95","3.99","4.02","4.05","4.04","4.12","4.20","4.37","4.34","4.36"
"Netherlands","Data source","Spirits","1.36","1.41","1.37","1.35","1.32","1.32","1.52","1.52","1.49","1.53"
"Netherlands","Data source","All types","8.23","8.33","8.31","8.29","8.30","8.38","8.59","9.00","8.95","9.34"
"Netherlands","Data source","Wine","2.92","2.93","2.94","2.89","2.94","2.95","2.87","3.16","3.17","3.18"
"Netherlands","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"New Zealand","Data source","Other alcoholic beverages","1.26","1.23","1.20","1.14","1.10","1.05","1.15","1.26","1.26","1.20"
"New Zealand","Data source","All types","9.17","9.12","9.06","9.02","8.68","8.98","9.12","9.17","9.45","9.62"
"New Zealand","Data source","Beer","3.41","3.39","3.34","3.38","3.28","3.33","3.45","3.38","3.65","3.68"
"New Zealand","Data source","Wine","","","","","","3.13","3.01","3.00","3.01","3.23"
"New Zealand","Data source","Wine","2.88","2.94","3.02","3.01","2.91","","","","",""
"New Zealand","Data source","Spirits","1.62","1.56","1.49","1.49","1.40","1.47","1.52","1.52","1.53","1.52"
"Nicaragua","Data source","Beer","1.57","1.57","1.60","1.52","1.44","1.38","1.34","1.31","1.31","1.31"
"Nicaragua","Data source","Spirits","2.10","2.17","2.23","2.23","2.24","2.12","2.17","2.25","2.01","1.99"
"Nicaragua","Data source","All types","3.69","3.77","3.87","3.80","3.72","3.54","3.55","3.60","3.34","3.33"
"Nicaragua","Data source","Wine","0.02","0.02","0.04","0.04","0.04","0.04","0.04","0.04","0.02","0.02"
"Nicaragua","Data source","Other alcoholic beverages","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Niger","Data source","Beer","0.04","0.04","0.04","0.05","0.05","0.05","0.04","0.05","0.05","0.05"
"Niger","Data source","Spirits","0.06","0.06","0.06","0.06","0.07","","","","",""
"Niger","Data source","All types","0.11","0.11","0.11","0.12","0.12","0.12","0.09","0.15","0.13","0.11"
"Niger","Data source","Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Niger","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Niger","Data source","Spirits","","","","","","0.06","0.04","0.09","0.07","0.05"
"Nigeria","Data source","Beer","0.73","0.73","0.72","0.71","0.72","0.70","0.70","0.71","0.72","0.71"
"Nigeria","Data source","Spirits","0.40","0.36","0.34","0.33","0.35","0.35","0.35","0.35","0.35","0.38"
"Nigeria","Data source","All types","4.49","4.45","4.41","4.43","4.51","4.45","4.45","4.73","4.99","5.22"
"Nigeria","Data source","Wine","0.09","0.09","0.09","0.08","0.09","0.08","0.08","0.08","0.08","0.08"
"Nigeria","Data source","Other alcoholic beverages","3.27","3.27","3.27","3.31","3.35","3.32","3.32","3.59","3.84","4.05"
"Niue","Data source","Beer","4.28","4.28","4.28","4.28","4.28","4.28","4.28","2.16","2.93","1.57"
"Niue","Data source","Spirits","2.33","2.33","2.33","2.33","2.33","2.33","2.33","5.32","1.98","1.98"
"Niue","Data source","All types","8.50","8.50","8.50","8.61","8.21","7.81","8.01","9.00","6.81","4.59"
"Niue","Data source","Wine","1.89","1.89","1.89","2.00","1.59","1.20","1.40","1.52","1.90","1.04"
"Niue","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Norway","Data source","Beer","2.63","2.66","2.63","2.65","2.57","2.62","2.68","2.67","2.83","2.91"
"Norway","Data source","Other alcoholic beverages","0.19","0.19","0.17","0.16","0.15","","","","",""
"Norway","Data source","All types","6.05","6.02","6.00","6.03","5.97","6.06","6.21","6.21","6.44","6.59"
"Norway","Data source","Wine","2.23","2.20","2.19","2.21","2.22","2.25","2.30","2.29","2.30","2.29"
"Norway","Data source","Spirits","1.00","0.97","1.01","1.01","1.03","1.04","1.09","1.11","1.18","1.25"
"Norway","Data source","Other alcoholic beverages","","","","","","0.15","0.14","0.14","0.13","0.14"
"Oman","Data source","Other alcoholic beverages","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Oman","Data source","All types","0.47","0.48","0.47","0.45","0.45","0.42","0.44","0.49","0.50","0.51"
"Oman","Data source","Beer","0.17","0.17","0.16","0.16","0.17","0.17","0.18","0.19","0.20","0.20"
"Oman","Data source","Wine","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.03","0.02","0.03"
"Oman","Data source","Spirits","","","","","","0.23","0.25","0.27","0.28","0.28"
"Oman","Data source","Spirits","0.29","0.29","0.28","0.27","0.27","","","","",""
"Pakistan","Data source","All types","0.04","0.05","0.04","0.04","0.04","0.04","0.03","0.03","0.04","0.04"
"Pakistan","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan","Data source","Spirits","0.04","0.04","0.04","0.04","0.03","0.03","0.03","0.03","0.03","0.03"
"Panama","Data source","All types","6.54","6.56","6.79","6.61","6.84","6.30","6.21","6.21","6.16","6.10"
"Panama","Data source","Beer","5.29","5.29","5.40","5.13","5.36","4.79","4.43","4.27","4.21","4.10"
"Panama","Data source","Wine","0.02","0.01","0.16","0.16","0.14","0.19","0.19","0.20","0.18","0.17"
"Panama","Data source","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03"
"Panama","Data source","Spirits","1.20","1.24","1.21","1.30","1.31","1.30","1.57","1.72","1.75","1.80"
"Papua New Guinea","Data source","All types","1.26","1.26","1.37","1.34","1.36","1.35","0.81","0.94","0.81","0.73"
